experiment,model,layer,source,target,direction,auc_mj,auc_mj_ci_high,auc_mj_ci_low,auc_mj_p,bootstrap_unit,cb_delta_auc,cb_delta_auc_ci_high,cb_delta_auc_ci_low,cb_delta_auc_p,cb_meta_mj_auc,cb_meta_mj_auc_ci_high,cb_meta_mj_auc_ci_low,cb_meta_mj_auc_p,cb_sample_size,cb_truth_gt_auc,cb_truth_gt_auc_ci_high,cb_truth_gt_auc_ci_low,cb_truth_gt_auc_p,n_B,n_C,n_boot_valid,question_clusters,sample_size
Exp2B,qwen25_7b,21,math,movies,math->movies,,,,,target_question,0.6492534492534493,0.7254395784154338,0.5725041316819239,0.0,0.8441882441882442,0.8790467347174915,0.8088647560558013,0.0,513,0.19493479493479493,0.238081138309742,0.15204171737808017,1.0,143,370,1000,468,
Exp2B,qwen25_7b,21,movies,math,movies->math,,,,,target_question,0.4525540873708413,0.5366915494785756,0.36706580117437454,0.0,0.7332336075791573,0.7749571390967119,0.6899903081859379,0.0,1887,0.28067952020831605,0.3239614689045312,0.23789411927454007,1.0,168,1719,1000,1824,
Exp1,qwen25_7b,22,math,movies,math->movies,0.8390852390852391,0.8734016880337861,0.8015288803598742,0.0,target_question,,,,,,,,,,,,,,143,370,1000,468,513
Exp1,qwen25_7b,22,movies,math,movies->math,0.7311871519986703,0.7737895865039608,0.6887197536908889,0.0,target_question,,,,,,,,,,,,,,168,1719,1000,1824,1887
Exp1,qwen25_7b,22,math,math,math->math,0.6873043574614255,0.7324503044997449,0.6397948631382239,0.0,target_question,,,,,,,,,,,,,,168,1719,1000,1824,1887
Exp1,qwen25_7b,22,movies,movies,movies->movies,0.8602343602343603,0.8925627585835434,0.8240196967860073,0.0,target_question,,,,,,,,,,,,,,143,370,1000,468,513
Exp2B,qwen25_7b,22,math,movies,math->movies,,,,,target_question,0.655962955962956,0.7285363944815934,0.5781384966202965,0.0,0.8433377433377434,0.8785009757121097,0.8049487482929207,0.0,513,0.18737478737478738,0.23252131163319384,0.14876519432199012,1.0,143,370,1000,468,
Exp2B,qwen25_7b,22,movies,math,movies->math,,,,,target_question,0.45661237153383744,0.5400135228367741,0.37247770080374826,0.0,0.7335487132607551,0.7746020212658424,0.6907207261198004,0.0,1887,0.27693634172691767,0.3184221298922212,0.2341812893175158,1.0,168,1719,1000,1824,
Exp1,qwen25_7b,23,math,movies,math->movies,0.832999432999433,0.8676233738753601,0.7970573427582691,0.0,target_question,,,,,,,,,,,,,,143,370,1000,468,513
Exp1,qwen25_7b,23,movies,math,movies->math,0.7046490207484972,0.7481847041542585,0.6610666281471824,0.0,target_question,,,,,,,,,,,,,,168,1719,1000,1824,1887
Exp1,qwen25_7b,23,math,math,math->math,0.6832772375966093,0.728832910801236,0.637178522354645,0.0,target_question,,,,,,,,,,,,,,168,1719,1000,1824,1887
Exp1,qwen25_7b,23,movies,movies,movies->movies,0.875996975996976,0.9061750284200144,0.8462646768445302,0.0,target_question,,,,,,,,,,,,,,143,370,1000,468,513
Exp2B,qwen25_7b,23,math,movies,math->movies,,,,,target_question,0.6566055566055566,0.7297973925710501,0.5789958594124953,0.0,0.8343980343980344,0.8708261346899461,0.7959623100156137,0.0,513,0.17779247779247778,0.2168090435932827,0.13934719724623904,1.0,143,370,1000,468,
Exp2B,qwen25_7b,23,movies,math,movies->math,,,,,target_question,0.4056275797113494,0.4933485641627871,0.3202778373756319,0.0,0.7060548768663952,0.7486113616433924,0.661986121646194,0.0,1887,0.30042729715504585,0.3431513328611988,0.2575891831673237,1.0,168,1719,1000,1824,
Exp1,qwen25_7b,24,math,movies,math->movies,0.8068796068796069,0.8487513768870476,0.7642921379654118,0.0,target_question,,,,,,,,,,,,,,143,370,1000,468,513
Exp1,qwen25_7b,24,movies,math,movies->math,0.6953482090916646,0.7385204492326979,0.6532356600765955,0.0,target_question,,,,,,,,,,,,,,168,1719,1000,1824,1887
Exp1,qwen25_7b,24,math,math,math->math,0.6797937616000443,0.7284339473913105,0.6330022448454973,0.0,target_question,,,,,,,,,,,,,,168,1719,1000,1824,1887
Exp1,qwen25_7b,24,movies,movies,movies->movies,0.862048762048762,0.8949270074285074,0.8247073184074839,0.0,target_question,,,,,,,,,,,,,,143,370,1000,468,513
Exp2B,qwen25_7b,24,math,movies,math->movies,,,,,target_question,0.6042903042903043,0.6798329848503477,0.5187834489403165,0.0,0.8075600075600076,0.8453137138803405,0.7632405931541518,0.0,513,0.20326970326970328,0.24839588037676494,0.16298027335043236,1.0,143,370,1000,468,
Exp2B,qwen25_7b,24,movies,math,movies->math,,,,,target_question,0.3847267237319593,0.4736016192942955,0.30168991854389143,0.0,0.6985408183052162,0.7429434027753584,0.6573311722949308,0.0,1887,0.3138140945732569,0.3556535979483308,0.26894950641942195,1.0,168,1719,1000,1824,
Exp1,qwen25_7b,25,math,movies,math->movies,0.8082782082782083,0.8520245761194674,0.7637080836514458,0.0,target_question,,,,,,,,,,,,,,143,370,1000,468,513
Exp1,qwen25_7b,25,movies,math,movies->math,0.6947041469292778,0.7337430964581756,0.6487659649510487,0.0,target_question,,,,,,,,,,,,,,168,1719,1000,1824,1887
Exp1,qwen25_7b,25,math,math,math->math,0.6796968060057065,0.72601194986439,0.632739609551612,0.0,target_question,,,,,,,,,,,,,,168,1719,1000,1824,1887
Exp1,qwen25_7b,25,movies,movies,movies->movies,0.8528066528066528,0.8887541520808293,0.818816255189349,0.0,target_question,,,,,,,,,,,,,,143,370,1000,468,513
Exp2B,qwen25_7b,25,math,movies,math->movies,,,,,target_question,0.6096390096390096,0.6967778272064835,0.5238877210920283,0.0,0.81001701001701,0.8516820910895911,0.7669533577093051,0.0,513,0.20037800037800038,0.24382256308666958,0.1548863620368977,1.0,143,370,1000,468,
Exp2B,qwen25_7b,25,movies,math,movies->math,,,,,target_question,0.3843440954043048,0.4644380916364063,0.2998083355555152,0.0,0.6984854151084517,0.7377634276796754,0.6555305371116251,0.0,1887,0.31414131970414694,0.35659042250617173,0.2728536236918294,1.0,168,1719,1000,1824,
Exp1,qwen25_7b,26,math,movies,math->movies,0.778038178038178,0.8220097935811052,0.7242774923896499,0.0,target_question,,,,,,,,,,,,,,143,370,1000,468,513
Exp1,qwen25_7b,26,movies,math,movies->math,0.698748580293083,0.738816700923744,0.6556915678224752,0.0,target_question,,,,,,,,,,,,,,168,1719,1000,1824,1887
Exp1,qwen25_7b,26,math,math,math->math,0.6819198592758802,0.724844182236518,0.6365154495186768,0.0,target_question,,,,,,,,,,,,,,168,1719,1000,1824,1887
Exp1,qwen25_7b,26,movies,movies,movies->movies,0.8381024381024381,0.8727676217129666,0.7998559563711045,0.0,target_question,,,,,,,,,,,,,,143,370,1000,468,513
Exp2B,qwen25_7b,26,math,movies,math->movies,,,,,target_question,0.5591948591948592,0.6411030706439745,0.4724212018332501,0.0,0.7739179739179739,0.8172045623986258,0.7303594038194733,0.0,513,0.21472311472311473,0.26217405786067755,0.1721231781410361,1.0,143,370,1000,468,
Exp2B,qwen25_7b,26,movies,math,movies->math,,,,,target_question,0.39035014820355135,0.47673161610500797,0.30143487924722506,0.0,0.7030665669409125,0.7474486111034905,0.6585085978271872,0.0,1887,0.31271641873736117,0.35628919392460673,0.26958693535085043,1.0,168,1719,1000,1824,
Exp1,qwen25_7b,27,math,movies,math->movies,0.7844641844641844,0.8241822306569976,0.7400481128333497,0.0,target_question,,,,,,,,,,,,,,143,370,1000,468,513
Exp1,qwen25_7b,27,movies,math,movies->math,0.677456439236544,0.7280975779404595,0.6279175076499733,0.0,target_question,,,,,,,,,,,,,,168,1719,1000,1824,1887
Exp1,qwen25_7b,27,math,math,math->math,0.6720303886534253,0.716980828460699,0.6248957042219693,0.0,target_question,,,,,,,,,,,,,,168,1719,1000,1824,1887
Exp1,qwen25_7b,27,movies,movies,movies->movies,0.8094878094878095,0.8463694837806185,0.7678930404596931,0.0,target_question,,,,,,,,,,,,,,143,370,1000,468,513
Exp2B,qwen25_7b,27,math,movies,math->movies,,,,,target_question,0.5601965601965602,0.6434019294662888,0.47104155814410426,0.0,0.7862596862596862,0.8296407046579077,0.7407054895995968,0.0,513,0.22606312606312606,0.2749497084671846,0.18353650294701018,1.0,143,370,1000,468,
Exp2B,qwen25_7b,27,movies,math,movies->math,,,,,target_question,0.3467859220477022,0.43902288727119854,0.2548736128955384,0.0,0.6842467935399873,0.7308787799464107,0.6381231833171536,0.0,1887,0.3374608714922851,0.38398975408730807,0.2913457271129581,1.0,168,1719,1000,1824,
Exp1,llama31_8b,0,math,movies,math->movies,0.49283976357866316,0.5294128193210903,0.4573187641905467,0.637,target_question,,,,,,,,,,,,,,1853,293,1000,2035,2146
Exp1,llama31_8b,0,movies,math,movies->math,0.5700369386695974,0.6054451706470362,0.5301468144760846,0.0,target_question,,,,,,,,,,,,,,915,358,1000,1240,1273
Exp1,llama31_8b,0,math,math,math->math,0.6538113990902708,0.6861846118176788,0.6226880743436846,0.0,target_question,,,,,,,,,,,,,,915,358,1000,1240,1273
Exp1,llama31_8b,0,movies,movies,movies->movies,0.5906260302912536,0.6239225115274277,0.5546432372832486,0.0,target_question,,,,,,,,,,,,,,1853,293,1000,2035,2146
Exp2B,llama31_8b,0,math,movies,math->movies,,,,,target_question,-0.0014348100764556837,0.01715043083404578,-0.02031618558852206,0.582,0.4932449730996134,0.5275067227422519,0.4569855092498985,0.673,2146,0.4946797831760691,0.5277129729763609,0.45747918026405443,0.652,1853,293,1000,2035,
Exp2B,llama31_8b,0,movies,math,movies->math,,,,,target_question,0.07706444424092557,0.11721426775490325,0.0371430511504342,0.0,0.5450560185609182,0.5806378910919868,0.5063709377392601,0.011,1273,0.46799157431999266,0.5034215009109839,0.43084305353201113,0.961,915,358,1000,1240,
Exp1,llama31_8b,1,math,movies,math->movies,0.48854914731023763,0.5238805540989326,0.45568554461851796,0.724,target_question,,,,,,,,,,,,,,1853,293,1000,2035,2146
Exp1,llama31_8b,1,movies,math,movies->math,0.4241933021949507,0.4591306848852422,0.38679724243455677,1.0,target_question,,,,,,,,,,,,,,915,358,1000,1240,1273
Exp1,llama31_8b,1,math,math,math->math,0.589461794425619,0.6234392179703536,0.5564939731920097,0.0,target_question,,,,,,,,,,,,,,915,358,1000,1240,1273
Exp1,llama31_8b,1,movies,movies,movies->movies,0.5927404872460303,0.6268396340982942,0.5566555733235876,0.0,target_question,,,,,,,,,,,,,,1853,293,1000,2035,2146
Exp2B,llama31_8b,1,math,movies,math->movies,,,,,target_question,-0.011625829528354559,0.015911189540672895,-0.04075635119676969,0.79,0.48237614863085226,0.517972942939303,0.44624083392890657,0.821,2146,0.4940019781592068,0.5306862160344381,0.4551278671834092,0.598,1853,293,1000,2035,
Exp2B,llama31_8b,1,movies,math,movies->math,,,,,target_question,-0.05910797692096342,-0.023522196409038357,-0.09485097801311736,1.0,0.42266385810666424,0.45937321542582715,0.3874970322212136,1.0,1273,0.48177183502762766,0.518626661666025,0.44670810286697016,0.838,915,358,1000,1240,
Exp1,llama31_8b,2,math,movies,math->movies,0.5028226526857102,0.5402028362872133,0.46700064827619125,0.422,target_question,,,,,,,,,,,,,,1853,293,1000,2035,2146
Exp1,llama31_8b,2,movies,math,movies->math,0.27203651128003176,0.3018402525041561,0.24092110999393684,1.0,target_question,,,,,,,,,,,,,,915,358,1000,1240,1273
Exp1,llama31_8b,2,math,math,math->math,0.418591446103123,0.4503396669767052,0.386635142682957,1.0,target_question,,,,,,,,,,,,,,915,358,1000,1240,1273
Exp1,llama31_8b,2,movies,movies,movies->movies,0.5574283193566746,0.5911834031613261,0.5251581742933992,0.0,target_question,,,,,,,,,,,,,,1853,293,1000,2035,2146
Exp2B,llama31_8b,2,math,movies,math->movies,,,,,target_question,-0.0023796850048533047,0.03455627390836407,-0.042322195375838874,0.577,0.4713378729078756,0.5078306695303988,0.43604058849415567,0.949,2146,0.4737175579127289,0.5112941730548409,0.4381314091219607,0.897,1853,293,1000,2035,
Exp2B,llama31_8b,2,movies,math,movies->math,,,,,target_question,-0.2743535732820465,-0.2293236957590648,-0.31652029174487917,1.0,0.29341514790731754,0.3228525836476405,0.26376340482479527,1.0,1273,0.5677687211893641,0.6013588539415923,0.5311244446079392,0.0,915,358,1000,1240,
Exp1,llama31_8b,3,math,movies,math->movies,0.5257464604027414,0.5591450331929981,0.49042634210238306,0.074,target_question,,,,,,,,,,,,,,1853,293,1000,2035,2146
Exp1,llama31_8b,3,movies,math,movies->math,0.2987453063467351,0.33207424912425904,0.2659700132761458,1.0,target_question,,,,,,,,,,,,,,915,358,1000,1240,1273
Exp1,llama31_8b,3,math,math,math->math,0.3605122569221846,0.3900248872042511,0.32729715422626493,1.0,target_question,,,,,,,,,,,,,,915,358,1000,1240,1273
Exp1,llama31_8b,3,movies,movies,movies->movies,0.5281464058836423,0.5628879227077276,0.49782283354972673,0.039,target_question,,,,,,,,,,,,,,1853,293,1000,2035,2146
Exp2B,llama31_8b,3,math,movies,math->movies,,,,,target_question,0.012662797529695402,0.043231119862890625,-0.01806474655716152,0.187,0.48339838174052224,0.5162371876092275,0.4494785997616594,0.827,2146,0.47073558421082684,0.5049119899977136,0.4362625220047731,0.952,1853,293,1000,2035,
Exp2B,llama31_8b,3,movies,math,movies->math,,,,,target_question,-0.26790304362426354,-0.21619823097482024,-0.31851363344939837,1.0,0.2793845590255518,0.3119150930565604,0.24822100704825475,1.0,1273,0.5472876026498154,0.5801864394016527,0.5122964073418184,0.003,915,358,1000,1240,
Exp1,llama31_8b,4,math,movies,math->movies,0.501145637827414,0.53401873389255,0.4640810069728351,0.471,target_question,,,,,,,,,,,,,,1853,293,1000,2035,2146
Exp1,llama31_8b,4,movies,math,movies->math,0.37065665353970145,0.4036372309742449,0.33924855980443164,1.0,target_question,,,,,,,,,,,,,,915,358,1000,1240,1273
Exp1,llama31_8b,4,math,math,math->math,0.38661354824922917,0.41893531542801493,0.35654377282647237,1.0,target_question,,,,,,,,,,,,,,915,358,1000,1240,1273
Exp1,llama31_8b,4,movies,movies,movies->movies,0.5222819189986168,0.553715710041238,0.48811799191716304,0.089,target_question,,,,,,,,,,,,,,1853,293,1000,2035,2146
Exp2B,llama31_8b,4,math,movies,math->movies,,,,,target_question,-0.010362312567573306,0.03341429643741484,-0.0522791300334194,0.684,0.4775007413492372,0.5110305475482355,0.44456309690567924,0.904,2146,0.4878630539168105,0.5184366646468006,0.4556991995911284,0.762,1853,293,1000,2035,
Exp2B,llama31_8b,4,movies,math,movies->math,,,,,target_question,-0.19438593277772687,-0.13707454736701288,-0.2526080560084912,1.0,0.37417345910797695,0.41089367367681984,0.34103024256451575,1.0,1273,0.5685593918857038,0.6030060748184168,0.5319305914230997,0.0,915,358,1000,1240,
Exp1,llama31_8b,5,math,movies,math->movies,0.48806565867728563,0.5259613834530643,0.45168926694926675,0.733,target_question,,,,,,,,,,,,,,1853,293,1000,2035,2146
Exp1,llama31_8b,5,movies,math,movies->math,0.472857709802485,0.508334029262117,0.4360502209310157,0.926,target_question,,,,,,,,,,,,,,915,358,1000,1240,1273
Exp1,llama31_8b,5,math,math,math->math,0.35306957291571267,0.38338298265713794,0.32193025890785076,1.0,target_question,,,,,,,,,,,,,,915,358,1000,1240,1273
Exp1,llama31_8b,5,movies,movies,movies->movies,0.5301208813675453,0.5630749228098955,0.4960350502379162,0.047,target_question,,,,,,,,,,,,,,1853,293,1000,2035,2146
Exp2B,llama31_8b,5,math,movies,math->movies,,,,,target_question,-0.021136281171202864,0.02023001083884063,-0.06361721257940457,0.84,0.47021249555650924,0.5016622532163395,0.43528126166636016,0.963,2146,0.4913487767277121,0.5254645070429326,0.4565430500092557,0.692,1853,293,1000,2035,
Exp2B,llama31_8b,5,movies,math,movies->math,,,,,target_question,-0.0411316665140275,0.021663126051097735,-0.10392643358297377,0.907,0.45208505052355225,0.48434203043771273,0.41893611275503956,0.996,1273,0.49321671703757974,0.5293049216877664,0.45731147435080227,0.639,915,358,1000,1240,
Exp1,llama31_8b,6,math,movies,math->movies,0.5367331640048699,0.5761987402457222,0.4989368792849976,0.029,target_question,,,,,,,,,,,,,,1853,293,1000,2035,2146
Exp1,llama31_8b,6,movies,math,movies->math,0.5095918429648625,0.5378816437336266,0.47705592889189036,0.306,target_question,,,,,,,,,,,,,,915,358,1000,1240,1273
Exp1,llama31_8b,6,math,math,math->math,0.36463046066489607,0.3948155229574005,0.3337246176230526,1.0,target_question,,,,,,,,,,,,,,915,358,1000,1240,1273
Exp1,llama31_8b,6,movies,movies,movies->movies,0.5682989856868946,0.6037564039450053,0.5298832264621868,0.0,target_question,,,,,,,,,,,,,,1853,293,1000,2035,2146
Exp2B,llama31_8b,6,math,movies,math->movies,,,,,target_question,0.04234623680076033,0.09247484890965846,-0.0032322753694417347,0.037,0.5204603180157995,0.5544617878091206,0.4859908904465316,0.118,2146,0.4781140812150392,0.516154962259191,0.44086305931422065,0.865,1853,293,1000,2035,
Exp2B,llama31_8b,6,movies,math,movies->math,,,,,target_question,0.028683945416246914,0.0915714441689437,-0.032212353637218,0.166,0.4986567756510059,0.533337155560786,0.4655692895700504,0.506,1273,0.469972830234759,0.502190337364822,0.43654112173112797,0.965,915,358,1000,1240,
Exp1,llama31_8b,7,math,movies,math->movies,0.5238419756542753,0.5584818874685827,0.4902477033712314,0.081,target_question,,,,,,,,,,,,,,1853,293,1000,2035,2146
Exp1,llama31_8b,7,movies,math,movies->math,0.5663217022315841,0.6011924812948909,0.5287479480541996,0.001,target_question,,,,,,,,,,,,,,915,358,1000,1240,1273
Exp1,llama31_8b,7,math,math,math->math,0.35525536526543944,0.38586431054895437,0.32429357684675353,1.0,target_question,,,,,,,,,,,,,,915,358,1000,1240,1273
Exp1,llama31_8b,7,movies,movies,movies->movies,0.7122699284805195,0.7453712382683908,0.6763221916787012,0.0,target_question,,,,,,,,,,,,,,1853,293,1000,2035,2146
Exp2B,llama31_8b,7,math,movies,math->movies,,,,,target_question,0.028410713002989363,0.07264670708320575,-0.01902184183994153,0.101,0.49532443468667176,0.5273460558514821,0.46075446126515424,0.587,2146,0.4669137216836824,0.5023484002268196,0.43064140068359547,0.963,1853,293,1000,2035,
Exp2B,llama31_8b,7,movies,math,movies->math,,,,,target_question,0.13497878316085116,0.1973722476743813,0.07069206171172446,0.0,0.5335714503770187,0.5708975801506644,0.49704487216740634,0.037,1273,0.39859266721616754,0.43105338081907263,0.36588285939502024,1.0,915,358,1000,1240,
Exp1,llama31_8b,8,math,movies,math->movies,0.6553766698776451,0.6916231856807137,0.6199152825029706,0.0,target_question,,,,,,,,,,,,,,1853,293,1000,2035,2146
Exp1,llama31_8b,8,movies,math,movies->math,0.5022376896541197,0.5367852698301682,0.4686054202269172,0.451,target_question,,,,,,,,,,,,,,915,358,1000,1240,1273
Exp1,llama31_8b,8,math,math,math->math,0.3484995573465213,0.37615198904603914,0.31792109932565477,1.0,target_question,,,,,,,,,,,,,,915,358,1000,1240,1273
Exp1,llama31_8b,8,movies,movies,movies->movies,0.7789268946768362,0.8078949476029242,0.7501165057344799,0.0,target_question,,,,,,,,,,,,,,1853,293,1000,2035,2146
Exp2B,llama31_8b,8,math,movies,math->movies,,,,,target_question,0.2047689476892927,0.2542772995855472,0.15711632607604864,0.0,0.6167417839164974,0.6504891490406026,0.5805418951806431,0.0,2146,0.41197283622720465,0.44750939365766496,0.37658990279662363,1.0,1853,293,1000,2035,
Exp2B,llama31_8b,8,movies,math,movies->math,,,,,target_question,0.007714381658882108,0.06776717723753027,-0.05792210086614402,0.438,0.5054705864395397,0.5396464339963084,0.47026746385285145,0.398,1273,0.4977562047806576,0.5318109582808452,0.46594797827624046,0.526,915,358,1000,1240,
Exp1,llama31_8b,9,math,movies,math->movies,0.6716992461261049,0.7022906309539942,0.6398295513057902,0.0,target_question,,,,,,,,,,,,,,1853,293,1000,2035,2146
Exp1,llama31_8b,9,movies,math,movies->math,0.5039075617425283,0.5354677651032421,0.47093651406794657,0.401,target_question,,,,,,,,,,,,,,915,358,1000,1240,1273
Exp1,llama31_8b,9,math,math,math->math,0.3584363647464664,0.3909191012832907,0.3273068346949032,1.0,target_question,,,,,,,,,,,,,,915,358,1000,1240,1273
Exp1,llama31_8b,9,movies,movies,movies->movies,0.8105829675703453,0.8374306993023247,0.7813612999387921,0.0,target_question,,,,,,,,,,,,,,1853,293,1000,2035,2146
Exp2B,llama31_8b,9,math,movies,math->movies,,,,,target_question,0.284201985895025,0.3396547269050551,0.22656546270804112,0.0,0.6637755581300686,0.6991735789708741,0.6300094485515005,0.0,2146,0.3795735722350436,0.4141118892439242,0.3451118051781977,1.0,1853,293,1000,2035,
Exp2B,llama31_8b,9,movies,math,movies->math,,,,,target_question,0.02372927923802548,0.0860283236236946,-0.042306226522884516,0.214,0.49664804469273743,0.5281044092749783,0.46242301030922756,0.578,1273,0.47291876545471195,0.5081308050373832,0.4382735531924487,0.943,915,358,1000,1240,
Exp1,llama31_8b,10,math,movies,math->movies,0.6994984611247511,0.7319847268013023,0.6663725339693396,0.0,target_question,,,,,,,,,,,,,,1853,293,1000,2035,2146
Exp1,llama31_8b,10,movies,math,movies->math,0.5579479195286504,0.5932473864750772,0.5260572261250829,0.001,target_question,,,,,,,,,,,,,,915,358,1000,1240,1273
Exp1,llama31_8b,10,math,math,math->math,0.36452056049088744,0.3970875039222147,0.3336210480252601,1.0,target_question,,,,,,,,,,,,,,915,358,1000,1240,1273
Exp1,llama31_8b,10,movies,movies,movies->movies,0.8258225292809925,0.8534079813796511,0.8000004547239026,0.0,target_question,,,,,,,,,,,,,,1853,293,1000,2035,2146
Exp2B,llama31_8b,10,math,movies,math->movies,,,,,target_question,0.3314208671852121,0.38800958918253703,0.2759485263993778,0.0,0.6948330260494466,0.7292572047351966,0.6618468660437083,0.0,2146,0.36341215886423456,0.39444212969117864,0.33041324302799446,1.0,1853,293,1000,2035,
Exp2B,llama31_8b,10,movies,math,movies->math,,,,,target_question,0.1277833745458986,0.19937980171877837,0.059211184648684655,0.0,0.5449155905607962,0.5812010546617287,0.5108651146762874,0.004,1273,0.4171322160148976,0.4512627117269581,0.3802975172100864,1.0,915,358,1000,1240,
Exp1,llama31_8b,11,math,movies,math->movies,0.7207738028360983,0.754760830579748,0.6867959661171618,0.0,target_question,,,,,,,,,,,,,,1853,293,1000,2035,2146
Exp1,llama31_8b,11,movies,math,movies->math,0.5765637878926642,0.605420224155703,0.5426788233723631,0.0,target_question,,,,,,,,,,,,,,915,358,1000,1240,1273
Exp1,llama31_8b,11,math,math,math->math,0.38985865616509446,0.4207086135911046,0.35868990715212723,1.0,target_question,,,,,,,,,,,,,,915,358,1000,1240,1273
Exp1,llama31_8b,11,movies,movies,movies->movies,0.8816161965929247,0.9030653141775965,0.8591277003130019,0.0,target_question,,,,,,,,,,,,,,1853,293,1000,2035,2146
Exp2B,llama31_8b,11,math,movies,math->movies,,,,,target_question,0.40904796023052736,0.4667250962979904,0.3471479993292613,0.0,0.7390487522309547,0.7699143633697318,0.7063073183546247,0.0,2146,0.3300007920004273,0.3649025617158711,0.29680908826828045,1.0,1853,293,1000,2035,
Exp2B,llama31_8b,11,movies,math,movies->math,,,,,target_question,0.1523155356107091,0.2148369260560477,0.09230628582978563,0.0,0.5705955978874744,0.603116807189868,0.5412333545770508,0.0,1273,0.4182800622767653,0.45272880918400166,0.3844731482996835,1.0,915,358,1000,1240,
Exp1,llama31_8b,12,math,movies,math->movies,0.7225769852043269,0.7534809653401784,0.6847054792768661,0.0,target_question,,,,,,,,,,,,,,1853,293,1000,2035,2146
Exp1,llama31_8b,12,movies,math,movies->math,0.5809231614616723,0.6117553629028998,0.5467252670358559,0.0,target_question,,,,,,,,,,,,,,915,358,1000,1240,1273
Exp1,llama31_8b,12,math,math,math->math,0.4172482217541289,0.44848410597797395,0.386197291547829,1.0,target_question,,,,,,,,,,,,,,915,358,1000,1240,1273
Exp1,llama31_8b,12,movies,movies,movies->movies,0.8929546957336963,0.9134381579978847,0.8725965120160862,0.0,target_question,,,,,,,,,,,,,,1853,293,1000,2035,2146
Exp2B,llama31_8b,12,math,movies,math->movies,,,,,target_question,0.4088969275909005,0.4722247872946171,0.3444221039316462,0.0,0.7209764075965734,0.7556266528276743,0.6856925746970028,0.0,2146,0.3120794800056729,0.3478737323392267,0.27877869893187923,1.0,1853,293,1000,2035,
Exp2B,llama31_8b,12,movies,math,movies->math,,,,,target_question,0.17464053484751357,0.24007903257639104,0.11156936158351465,0.0,0.568168635711451,0.6023524037570316,0.5352788116613508,0.0,1273,0.39352810086393747,0.4253621666541933,0.36035301528645347,1.0,915,358,1000,1240,
Exp1,llama31_8b,13,math,movies,math->movies,0.7532034575423305,0.7855203047851281,0.7204843445039244,0.0,target_question,,,,,,,,,,,,,,1853,293,1000,2035,2146
Exp1,llama31_8b,13,movies,math,movies->math,0.5281588668070947,0.562441990604023,0.49622607269744623,0.048,target_question,,,,,,,,,,,,,,915,358,1000,1240,1273
Exp1,llama31_8b,13,math,math,math->math,0.44196660255823184,0.47517479138105406,0.4124324938141861,1.0,target_question,,,,,,,,,,,,,,915,358,1000,1240,1273
Exp1,llama31_8b,13,movies,movies,movies->movies,0.9162229315435352,0.9349046850386609,0.8957531152299458,0.0,target_question,,,,,,,,,,,,,,1853,293,1000,2035,2146
Exp2B,llama31_8b,13,math,movies,math->movies,,,,,target_question,0.488475472851883,0.5564940137328453,0.4204894608809217,0.0,0.7513717263214895,0.7867503872039963,0.7165264361703481,0.0,2146,0.26289625346960654,0.29608079300137097,0.22883106536949005,1.0,1853,293,1000,2035,
Exp2B,llama31_8b,13,movies,math,movies->math,,,,,target_question,0.0760539731965687,0.13552889932513082,0.011091235972412109,0.009,0.5178435143633422,0.5478505407380607,0.4854121569971787,0.154,1273,0.4417895411667735,0.4756615744544833,0.41094171542381835,0.999,915,358,1000,1240,
Exp1,llama31_8b,14,math,movies,math->movies,0.7904256357645291,0.8210554002837411,0.7575592622153702,0.0,target_question,,,,,,,,,,,,,,1853,293,1000,2035,2146
Exp1,llama31_8b,14,movies,math,movies->math,0.4943218243428885,0.5219381139721667,0.4646593771614873,0.653,target_question,,,,,,,,,,,,,,915,358,1000,1240,1273
Exp1,llama31_8b,14,math,math,math->math,0.4454101413438349,0.4752333150636692,0.4139623974689283,0.999,target_question,,,,,,,,,,,,,,915,358,1000,1240,1273
Exp1,llama31_8b,14,movies,movies,movies->movies,0.9110804543503846,0.9305148625895537,0.8899213277850376,0.0,target_question,,,,,,,,,,,,,,1853,293,1000,2035,2146
Exp2B,llama31_8b,14,math,movies,math->movies,,,,,target_question,0.566604473144739,0.6334195105438866,0.5002323514268275,0.0,0.7768216470293537,0.810447379148758,0.7423198327445556,0.0,2146,0.21021717388461475,0.24417183623274247,0.17615339627394616,1.0,1853,293,1000,2035,
Exp2B,llama31_8b,14,movies,math,movies->math,,,,,target_question,0.015837836187685084,0.07462374141515352,-0.045155461520766355,0.314,0.48276093659370517,0.5131689678256245,0.4518002704756546,0.868,1273,0.4669231004060201,0.4977463600495361,0.4366570778943566,0.986,915,358,1000,1240,
Exp1,llama31_8b,15,math,movies,math->movies,0.8008855669894221,0.8317743588752461,0.769807140023253,0.0,target_question,,,,,,,,,,,,,,1853,293,1000,2035,2146
Exp1,llama31_8b,15,movies,math,movies->math,0.5434227798638459,0.5758995743931083,0.5117808090115068,0.004,target_question,,,,,,,,,,,,,,915,358,1000,1240,1273
Exp1,llama31_8b,15,math,math,math->math,0.4572335683975944,0.49097800078868165,0.4263060707298883,0.998,target_question,,,,,,,,,,,,,,915,358,1000,1240,1273
Exp1,llama31_8b,15,movies,movies,movies->movies,0.9035859200742639,0.9236753605859226,0.8794649031103957,0.0,target_question,,,,,,,,,,,,,,1853,293,1000,2035,2146
